frame_idx,bin_idx,real,imag,mag2,eligible,pre_mask,mask
1,2,-425,2889,8526946,1,0,0
1,3,-665,4558,21217589,1,0,0
1,4,-673,6178,38620613,1,0,0
1,5,-1113,9091,83885050,1,0,0
1,6,-722,10899,119309485,1,0,0
1,7,-353,15179,230526650,1,0,0
1,8,-1492,19636,387798560,1,0,0
1,9,-93,25697,660344458,1,0,0
1,10,-1625,37122,1380683509,1,0,0
1,11,-1094,54110,2929088936,1,0,0
1,12,-1708,85312,7281054608,1,0,0
1,13,-1809,153625,23603913106,1,0,0
1,14,-1853,357736,127978479305,1,0,0
1,15,-2677,1783164,3179681017225,1,0,0
1,16,-3539,-5336076,28473719602297,1,0,0
1,17,-4733,1787379,3194746090930,1,0,0
1,18,-6533,366563,134411113058,1,0,0
1,19,-9735,170019,29001230586,1,0,0
1,20,-18486,116718,13964823720,1,0,0
1,21,-42944,130834,18961722692,1,0,0
1,22,-213311,426985,227817772946,1,0,0
1,23,639684,-1145319,1720951231617,1,0,0
1,24,-213059,410476,213884684057,1,0,0
1,25,-42905,93780,10635527425,1,0,0
1,26,-18506,46170,2474140936,1,0,0
1,27,-10257,28284,905190705,1,0,0
1,28,-6582,20643,469456173,1,0,0
1,29,-4764,15319,257367457,1,0,0
1,30,-3052,12264,159720400,1,0,0
1,31,-2833,9492,98123953,1,0,0
1,32,-2001,8279,72545842,1,0,0
1,33,-1372,6898,49464788,1,0,0
1,34,-1397,5847,36139018,1,0,0
1,35,-1310,5455,31473125,1,0,0
1,36,-1204,4253,19537625,1,0,0
1,37,-675,3842,15216589,1,0,0
1,38,-523,3622,13392413,1,0,0
1,39,-919,3434,12636917,1,0,0
1,40,-390,2491,6357181,1,0,0
1,41,-680,2550,6964900,1,0,0
1,42,-777,2618,7457653,1,0,0
1,43,-199,1948,3834305,1,0,0
1,44,-336,1782,3288420,1,0,0
1,45,-430,2001,4188901,1,0,0
1,46,-524,1679,3093617,1,0,0
1,47,-402,1290,1825704,1,0,0
1,48,-96,1412,2002960,1,0,0
1,49,-247,1706,2971445,1,0,0
1,50,-88,1046,1101860,1,0,0
1,51,-824,1022,1723460,1,0,0
1,52,-171,933,899730,1,0,0
1,53,-152,602,385508,1,0,0
1,54,-295,887,873794,1,0,0
1,55,-10,1253,1570109,1,0,0
1,56,-143,401,181250,1,0,0
1,57,-15,1431,2047986,1,0,0
1,58,-337,277,190298,1,0,0
1,59,-123,900,825129,1,0,0
1,60,-97,401,170210,1,0,0
1,61,-335,378,255109,1,0,0
1,62,-22,530,281384,1,0,0
1,63,-313,1017,1132258,1,0,0
1,64,211,542,338285,1,0,0
1,65,-627,91,401410,1,0,0
1,66,-108,487,248833,1,0,0
1,67,18,899,808525,1,0,0
1,68,108,250,74164,1,0,0
1,69,-185,125,49850,1,0,0
1,70,-23,362,131573,1,0,0
1,71,-335,273,186754,1,0,0
1,72,207,634,444805,1,0,0
1,73,-663,-302,530773,1,0,0
1,74,-54,371,140557,1,0,0
1,75,116,655,442481,1,0,0
1,76,298,88,96548,1,0,0
1,77,-475,290,309725,1,0,0
1,78,60,178,35284,1,0,0
1,79,-378,169,171445,1,0,0
1,80,194,262,106280,1,0,0
1,81,-563,96,326185,1,0,0
1,82,265,158,95189,1,0,0
1,83,-153,573,351738,1,0,0
1,84,8,356,126800,1,0,0
1,85,-249,-572,389185,1,0,0
1,86,104,394,166052,1,0,0
1,87,85,476,233801,1,0,0
1,88,-277,-143,97178,1,0,0
1,89,306,530,374536,1,0,0
1,90,-468,-102,229428,1,0,0
1,91,-70,458,214664,1,0,0
1,92,220,133,66089,1,0,0
1,93,-298,-224,138980,1,0,0
1,94,10,6,136,1,1,1
1,95,-245,186,94621,1,0,0
1,96,-108,150,34164,1,0,0
1,97,161,507,282970,1,0,0
1,98,-269,-75,77986,1,0,0
1,99,27,-216,47385,1,0,0
1,100,105,526,287701,1,0,0
1,101,-332,-12,110368,1,0,0
1,102,263,74,74645,1,0,0
1,103,120,-106,25636,1,0,0
1,104,-306,443,289885,1,0,0
1,105,-348,-559,433585,1,0,0
1,106,48,173,32233,1,0,0
1,107,260,207,110449,1,0,0
1,108,-99,-308,104665,1,0,0
1,109,-529,611,653162,1,0,0
1,110,-85,-78,13309,1,0,0
1,111,345,314,217621,1,0,0
1,112,-139,-341,135602,1,0,0
1,113,-17,355,126314,1,0,0
1,114,-182,-284,113780,1,0,0
1,115,-11,-95,9146,1,0,0
1,116,191,260,104081,1,0,0
1,117,-841,9,707362,1,0,0
1,118,522,11,272605,1,0,0
1,119,-198,215,85429,1,0,0
1,120,-219,-73,53290,1,0,0
1,121,592,21,350905,1,0,0
1,122,-155,-183,57514,1,0,0
1,123,-125,130,32525,1,0,0
1,124,-76,11,5897,1,0,0
1,125,-98,61,13325,1,0,0
1,126,193,-7,37298,1,0,0
1,127,-347,182,153533,1,0,0
1,128,-73,0,5329,1,0,0
2,0,501,0,251001,0,0,0
2,1,843,1084,1885705,1,0,0
2,2,578,2666,7441640,1,0,0
2,3,709,3794,14897117,1,0,0
2,4,378,5763,33355053,1,0,0
2,5,1197,7072,51445993,1,0,0
2,6,817,10023,101128018,1,0,0
2,7,531,13039,170297482,1,0,0
2,8,1049,17353,302227010,1,0,0
2,9,431,24809,615672242,1,0,0
2,10,1177,33859,1147817210,1,0,0
2,11,1343,50047,2506505858,1,0,0
2,12,1357,80959,6556201130,1,0,0
2,13,1722,148499,22054918285,1,0,0
2,14,2458,350842,123096150728,1,0,0
2,15,2512,1774467,3148739444233,1,0,0
2,16,3341,-5347392,28594612363945,1,0,0
2,17,4578,1770350,3134160080584,1,0,0
2,18,7034,343593,118105626805,1,0,0
2,19,9503,133082,17801125733,1,0,0
2,20,18656,50023,2850346865,1,0,0
2,21,42801,-24722,2443102885,1,0,0
2,22,213462,-353976,170865034020,1,0,0
2,23,-639937,1198326,1845504566245,1,0,0
2,24,213619,-370406,182833681997,1,0,0
2,25,42864,-62313,5720232465,1,0,0
2,26,18014,-20810,757560296,1,0,0
2,27,10499,-7800,171069001,1,0,0
2,28,6238,-3076,48374420,1,0,0
2,29,4765,-1027,23759954,1,0,0
2,30,3403,275,11656034,1,0,0
2,31,2655,1083,8221914,1,0,0
2,32,2204,1042,5943380,1,0,0
2,33,1245,1203,2997234,1,0,0
2,34,1541,1348,4191785,1,0,0
2,35,1313,1006,2736005,1,0,0
2,36,920,1104,2065216,1,0,0
2,37,550,1229,1812941,1,0,0
2,38,1119,1348,3069265,1,0,0
2,39,652,722,946388,1,0,0
2,40,667,860,1184489,1,0,0
2,41,768,807,1241073,1,0,0
2,42,177,1207,1488178,1,0,0
2,43,382,720,664324,1,0,0
2,44,453,797,840418,1,0,0
2,45,625,305,483650,1,0,0
2,46,-63,899,812170,1,0,0
2,47,592,569,674225,1,0,0
2,48,322,867,855373,1,0,0
2,49,273,63,78498,1,0,0
2,50,-38,518,269768,1,0,0
2,51,1006,790,1636136,1,0,0
2,52,-175,-14,30821,1,0,0
2,53,319,1021,1144202,1,0,0
2,54,183,377,175618,1,0,0
2,55,-13,62,4013,1,1,1
2,56,430,617,565589,1,0,0
2,57,29,-182,33965,1,0,0
2,58,68,443,200873,1,0,0
2,59,242,275,134189,1,0,0
2,60,22,126,16360,1,0,0
2,61,400,525,435625,1,0,0
2,62,-70,495,249925,1,0,0
2,63,299,-419,264962,1,0,0
2,64,-31,492,243025,1,0,0
2,65,645,451,619426,1,0,0
2,66,-162,359,155125,1,0,0
2,67,-80,-233,60689,1,0,0
2,68,323,32,105353,1,0,0
2,69,67,703,498698,1,0,0
2,70,-54,-246,63432,1,0,0
2,71,322,433,291173,1,0,0
2,72,-159,-156,49617,1,0,0
2,73,679,910,1289141,1,0,0
2,74,-154,-132,41140,1,0,0
2,75,-276,-11,76297,1,0,0
2,76,349,-41,123482,1,0,0
2,77,292,346,204980,1,0,0
2,78,-216,-128,63040,1,0,0
2,79,326,348,227380,1,0,0
2,80,-164,-17,27185,1,0,0
2,81,408,197,205273,1,0,0
2,82,98,229,62045,1,0,0
2,83,-34,-423,180085,1,0,0
2,84,77,160,31529,1,0,0
2,85,60,620,388000,1,0,0
2,86,327,199,146530,1,0,0
2,87,-168,-310,124324,1,0,0
2,88,137,267,90058,1,0,0
2,89,-51,-294,89037,1,0,0
2,90,-233,316,154145,1,0,0
2,91,208,-257,109313,1,0,0
2,92,137,93,27418,1,0,0
2,93,289,483,316810,1,0,0
2,94,-192,-179,68905,1,0,0
2,95,388,-43,152393,1,0,0
2,96,-96,425,189841,1,0,0
2,97,17,-455,207314,1,0,0
2,98,-50,35,3725,1,1,1
2,99,-13,171,29410,1,0,0
2,100,170,338,143144,1,0,0
2,101,88,-52,10448,1,0,0
2,102,340,-159,140881,1,0,0
2,103,-81,208,49825,1,0,0
2,104,-394,-142,175400,1,0,0
2,105,584,643,754505,1,0,0
2,106,-25,-226,51701,1,0,0
2,107,-88,80,14144,1,0,0
2,108,-272,-9,74065,1,0,0
2,109,775,-392,754289,1,0,0
2,110,-184,355,159881,1,0,0
2,111,-181,-54,35677,1,0,0
2,112,81,-133,24250,1,0,0
2,113,163,121,41210,1,0,0
2,114,-150,-339,137421,1,0,0
2,115,78,317,106573,1,0,0
2,116,-141,144,40617,1,0,0
2,117,564,-38,319540,1,0,0
2,118,240,114,70596,1,0,0
2,119,-123,-150,37629,1,0,0
2,120,327,-23,107458,1,0,0
2,121,-758,209,618245,1,0,0
2,122,401,-191,197282,1,0,0
2,123,34,5,1181,1,1,1
2,124,14,110,12296,1,0,0
2,125,46,-84,9172,1,0,0
2,126,19,171,29602,1,0,0
2,127,436,-233,244385,1,0,0
2,128,-447,0,199809,1,0,0
3,0,-342,0,116964,0,0,0
3,1,-953,1487,3119378,1,0,0
3,2,-425,2889,8526946,1,0,0
3,3,-665,4558,21217589,1,0,0
3,4,-673,6178,38620613,1,0,0
3,5,-1113,9091,83885050,1,0,0
3,6,-722,10899,119309485,1,0,0
3,7,-353,15179,230526650,1,0,0
3,8,-1492,19636,387798560,1,0,0
3,9,-93,25697,660344458,1,0,0
3,10,-1625,37122,1380683509,1,0,0
3,11,-1094,54110,2929088936,1,0,0
3,12,-1708,85312,7281054608,1,0,0
3,13,-1809,153625,23603913106,1,0,0
3,14,-1853,357736,127978479305,1,0,0
3,15,-2677,1783164,3179681017225,1,0,0
3,16,-3539,-5336076,28473719602297,1,0,0
3,17,-4733,1787379,3194746090930,1,0,0
3,18,-6533,366563,134411113058,1,0,0
3,19,-9735,170019,29001230586,1,0,0
3,20,-18486,116718,13964823720,1,0,0
3,21,-42944,130834,18961722692,1,0,0
3,22,-213311,426985,227817772946,1,0,0
3,23,639684,-1145319,1720951231617,1,0,0
3,24,-213059,410476,213884684057,1,0,0
3,25,-42905,93780,10635527425,1,0,0
3,26,-18506,46170,2474140936,1,0,0
3,27,-10257,28284,905190705,1,0,0
3,28,-6582,20643,469456173,1,0,0
3,29,-4764,15319,257367457,1,0,0
3,30,-3052,12264,159720400,1,0,0
3,31,-2833,9492,98123953,1,0,0
3,32,-2001,8279,72545842,1,0,0
3,33,-1372,6898,49464788,1,0,0
3,34,-1397,5847,36139018,1,0,0
3,35,-1310,5455,31473125,1,0,0
3,36,-1204,4253,19537625,1,0,0
3,37,-675,3842,15216589,1,0,0
3,38,-523,3622,13392413,1,0,0
3,39,-919,3434,12636917,1,0,0
3,40,-390,2491,6357181,1,0,0
3,41,-680,2550,6964900,1,0,0
3,42,-777,2618,7457653,1,0,0
3,43,-199,1948,3834305,1,0,0
3,44,-336,1782,3288420,1,0,0
3,45,-430,2001,4188901,1,0,0
3,46,-524,1679,3093617,1,0,0
3,47,-402,1290,1825704,1,0,0
3,48,-96,1412,2002960,1,0,0
3,49,-247,1706,2971445,1,0,0
3,50,-88,1046,1101860,1,0,0
3,51,-824,1022,1723460,1,0,0
3,52,-171,933,899730,1,0,0
3,53,-152,602,385508,1,0,0
3,54,-295,887,873794,1,0,0
3,55,-10,1253,1570109,1,0,0
3,56,-143,401,181250,1,0,0
3,57,-15,1431,2047986,1,0,0
3,58,-337,277,190298,1,0,0
3,59,-123,900,825129,1,0,0
3,60,-97,401,170210,1,0,0
3,61,-335,378,255109,1,0,0
3,62,-22,530,281384,1,0,0
3,63,-313,1017,1132258,1,0,0
3,64,211,542,338285,1,0,0
3,65,-627,91,401410,1,0,0
3,66,-108,487,248833,1,0,0
3,67,18,899,808525,1,0,0
3,68,108,250,74164,1,0,0
3,69,-185,125,49850,1,0,0
3,70,-23,362,131573,1,0,0
3,71,-335,273,186754,1,0,0
3,72,207,634,444805,1,0,0
3,73,-663,-302,530773,1,0,0
3,74,-54,371,140557,1,0,0
3,75,116,655,442481,1,0,0
3,76,298,88,96548,1,0,0
3,77,-475,290,309725,1,0,0
3,78,60,178,35284,1,0,0
3,79,-378,169,171445,1,0,0
3,80,194,262,106280,1,0,0
3,81,-563,96,326185,1,0,0
3,82,265,158,95189,1,0,0
3,83,-153,573,351738,1,0,0
3,84,8,356,126800,1,0,0
3,85,-249,-572,389185,1,0,0
3,86,104,394,166052,1,0,0
3,87,85,476,233801,1,0,0
3,88,-277,-143,97178,1,0,0
3,89,306,530,374536,1,0,0
3,90,-468,-102,229428,1,0,0
3,91,-70,458,214664,1,0,0
3,92,220,133,66089,1,0,0
3,93,-298,-224,138980,1,0,0
3,94,10,6,136,1,1,1
3,95,-245,186,94621,1,0,0
3,96,-108,150,34164,1,0,0
3,97,161,507,282970,1,0,0
3,98,-269,-75,77986,1,0,0
3,99,27,-216,47385,1,0,0
3,100,105,526,287701,1,0,0
3,101,-332,-12,110368,1,0,0
3,102,263,74,74645,1,0,0
3,103,120,-106,25636,1,0,0
3,104,-306,443,289885,1,0,0
3,105,-348,-559,433585,1,0,0
3,106,48,173,32233,1,0,0
3,107,260,207,110449,1,0,0
3,108,-99,-308,104665,1,0,0
3,109,-529,611,653162,1,0,0
3,110,-85,-78,13309,1,0,0
3,111,345,314,217621,1,0,0
3,112,-139,-341,135602,1,0,0
3,113,-17,355,126314,1,0,0
3,114,-182,-284,113780,1,0,0
3,115,-11,-95,9146,1,0,0
3,116,191,260,104081,1,0,0
3,117,-841,9,707362,1,0,0
3,118,522,11,272605,1,0,0
3,119,-198,215,85429,1,0,0
3,120,-219,-73,53290,1,0,0
3,121,592,21,350905,1,0,0
3,122,-155,-183,57514,1,0,0
3,123,-125,130,32525,1,0,0
3,124,-76,11,5897,1,0,0
3,125,-98,61,13325,1,0,0
3,126,193,-7,37298,1,0,0
3,127,-347,182,153533,1,0,0
3,128,-73,0,5329,1,0,0
4,0,501,0,251001,0,0,0
4,1,843,1084,1885705,1,0,0
4,2,578,2666,7441640,1,0,0
4,3,709,3794,14897117,1,0,0
4,4,378,5763,33355053,1,0,0
4,5,1197,7072,51445993,1,0,0
4,6,817,10023,101128018,1,0,0
4,7,531,13039,170297482,1,0,0
4,8,1049,17353,302227010,1,0,0
4,9,431,24809,615672242,1,0,0
4,10,1177,33859,1147817210,1,0,0
4,11,1343,50047,2506505858,1,0,0
4,12,1357,80959,6556201130,1,0,0
4,13,1722,148499,22054918285,1,0,0
4,14,2458,350842,123096150728,1,0,0
4,15,2512,1774467,3148739444233,1,0,0
4,16,3341,-5347392,28594612363945,1,0,0
4,17,4578,1770350,3134160080584,1,0,0
4,18,7034,343593,118105626805,1,0,0
4,19,9503,133082,17801125733,1,0,0
4,20,18656,50023,2850346865,1,0,0
4,21,42801,-24722,2443102885,1,0,0
4,22,213462,-353976,170865034020,1,0,0
4,23,-639937,1198326,1845504566245,1,0,0
