frame_idx,unique_bins,unique_suppressed_bins,eligible_unique_bins,eligible_suppressed_bins,eligible_kept_mag2,eligible_total_mag2
0,129,0,128,0,36736482671674,36736482671674
1,129,1,128,1,74774363785261,74774363785533
2,129,3,128,3,74762729210531,74762729228369
3,129,1,128,1,74774363785261,74774363785533
4,129,3,128,3,74762729210531,74762729228369
5,129,1,128,1,74774363785261,74774363785533
6,129,3,128,3,74762729210531,74762729228369
7,129,1,128,1,74774363785261,74774363785533
8,129,0,128,0,37951143705705,37951143705705
